STATE: {location: 1, people: {5=true, 6=true}, edges: {2=unknown, 4=unknown, 7=unknown}, carrying: 0, saved: 0, time: 0}, ACTION: Go to vertex 4, UTILITY: 2.976
STATE: {location: 4, people: {5=true, 6=true}, edges: {2=unknown, 4=unknown, 7=blocked}, carrying: 0, saved: 0, time: 2}, ACTION: Go to vertex 1, UTILITY: 0.6
STATE: {location: 1, people: {5=true, 6=true}, edges: {2=unknown, 4=unknown, 7=blocked}, carrying: 0, saved: 0, time: 4}, ACTION: Go to vertex 2, UTILITY: 0.6
STATE: {location: 4, people: {5=true, 6=true}, edges: {2=unknown, 4=unknown, 7=blocked}, carrying: 0, saved: 0, time: 6}, ACTION: NoOp, UTILITY: 0
STATE: {location: 1, people: {5=true, 6=true}, edges: {2=unknown, 4=unknown, 7=blocked}, carrying: 0, saved: 0, time: 8}, ACTION: NoOp, UTILITY: 0
STATE: {location: 4, people: {5=true, 6=true}, edges: {2=unknown, 4=unknown, 7=blocked}, carrying: 0, saved: 0, time: 10}, ACTION: NoOp, UTILITY: 0
STATE: {location: 2, people: {5=true, 6=true}, edges: {2=blocked, 4=blocked, 7=blocked}, carrying: 0, saved: 0, time: 9}, ACTION: NoOp, UTILITY: 0
STATE: {location: 1, people: {5=true, 6=true}, edges: {2=blocked, 4=blocked, 7=blocked}, carrying: 0, saved: 0, time: 10}, ACTION: NoOp, UTILITY: 0
STATE: {location: 2, people: {5=true, 6=true}, edges: {2=blocked, 4=open, 7=blocked}, carrying: 0, saved: 0, time: 9}, ACTION: NoOp, UTILITY: 0
STATE: {location: 5, people: {5=false, 6=true}, edges: {2=blocked, 4=open, 7=blocked}, carrying: 2, saved: 0, time: 10}, ACTION: NoOp, UTILITY: 0
STATE: {location: 1, people: {5=true, 6=true}, edges: {2=blocked, 4=open, 7=blocked}, carrying: 0, saved: 0, time: 10}, ACTION: NoOp, UTILITY: 0
